electricity_load,temperature,hour,day,month,day_of_the_week,holiday
20047.275,5.07,16,17,1,5,0
21212.45,4.31,17,17,1,5,0
21306.4,4.0,18,17,1,5,0
21053.05,3.62,19,17,1,5,0
20794.225,3.23,20,17,1,5,0
20087.225,2.96,21,17,1,5,0
18802.25,2.48,22,17,1,5,0
17720.9,2.07,23,17,1,5,0
16502.025,1.8,0,18,1,6,0
15445.775,1.6,1,18,1,6,0
14813.375,1.26,2,18,1,6,0
14387.5,1.09,3,18,1,6,0
14217.275,0.96,4,18,1,6,0
14197.075,0.82,5,18,1,6,0
14364.775,0.6,6,18,1,6,0
14845.225,0.72,7,18,1,6,0
15139.875,1.0,8,18,1,6,0
15939.675,1.49,9,18,1,6,0
16898.2,1.76,10,18,1,6,0
17690.925,2.0,11,18,1,6,0
17930.9,2.1,12,18,1,6,0
18106.25,2.0,13,18,1,6,0
18138.9,1.85,14,18,1,6,0
17911.95,1.6,15,18,1,6,0
17704.225,1.49,16,18,1,6,0
18993.05,1.32,17,18,1,6,0
19512.35,1.2,18,18,1,6,0
19636.475,1.15,19,18,1,6,0
19635.625,1.03,20,18,1,6,0
18994.55,1.0,21,18,1,6,0
18191.95,0.8,22,18,1,6,0
17202.8,0.7,23,18,1,6,0
16076.45,0.57,0,19,1,0,0
15144.3,0.46,1,19,1,0,0
14788.275,0.47,2,19,1,0,0
14547.8,0.36,3,19,1,0,0
14564.7,0.34,4,19,1,0,0
14938.55,0.38,5,19,1,0,0
16053.9,0.4,6,19,1,0,0
19347.35,0.54,7,19,1,0,0
21293.625,0.68,8,19,1,0,0
22261.2,0.86,9,19,1,0,0
22757.6,1.04,10,19,1,0,0
22869.625,1.16,11,19,1,0,0
23050.575,1.2,12,19,1,0,0
23199.725,1.15,13,19,1,0,0
23269.925,1.06,14,19,1,0,0
23041.425,0.92,15,19,1,0,0
22843.775,0.8,16,19,1,0,0
23770.175,0.69,17,19,1,0,0
23925.375,0.6,18,19,1,0,0
23597.95,0.54,19,19,1,0,0
23441.85,0.48,20,19,1,0,0
22529.55,0.44,21,19,1,0,0
21097.975,0.36,22,19,1,0,0
19559.75,0.3,23,19,1,0,0
18055.025,0.24,0,20,1,1,0
16996.55,0.15,1,20,1,1,0
16412.075,0.12,2,20,1,1,0
16153.0,0.09,3,20,1,1,0
16210.55,0.08,4,20,1,1,0
16477.925,0.08,5,20,1,1,0
17320.275,0.1,6,20,1,1,0
20162.475,0.18,7,20,1,1,0
21865.475,0.52,8,20,1,1,0
22625.75,0.9,9,20,1,1,0
22896.925,1.3,10,20,1,1,0
22887.45,1.51,11,20,1,1,0
23225.475,1.6,12,20,1,1,0
23263.65,1.6,13,20,1,1,0
23351.975,1.46,14,20,1,1,0
23080.15,1.24,15,20,1,1,0
22952.625,0.93,16,20,1,1,0
23842.2,0.76,17,20,1,1,0
24067.7,0.7,18,20,1,1,0
23832.45,0.73,19,20,1,1,0
23664.425,0.71,20,20,1,1,0
22841.825,0.66,21,20,1,1,0
